Table name;Current/future;Notes;Field_1;Field_2;field_3;Field_4;Field_5;Field_6;Field_7;Field_8;Field_9;Field_10;Field_11;Field_12;Field_13;Field_14;Field_15;Field_16;Field_17;Field_18;Field_19;Field_20;Field_21
aggregatable_field_defs;Current;;id;company_id;field_name;field_type;is_required;options;created_at;;;;;;;;;;;;;;
aggregatable_field_defs;Future;;id;company_id;field_name;field_type;is_required;options;created_at;created_by;;;;;;;;;;;;;
audit_logs;Current;;id;company_id;user_id;action;details;created_at;;;;;;;;;;;;;;;
audit_logs;Future;;id;company_id;user_id;action;details;created_at;;;;;;;;;;;;;;;
companies;Current;;id;name;created_at;;;;;;;;;;;;;;;;;;
companies;Future;;id;name;created_at;created_by;;;;;;;;;;;;;;;;;
company_settings;Current;;id;company_id;key;value;updated_at;;;;;;;;;;;;;;;;
company_settings;Future;;id;company_id;key;value;updated_at;updated_by;;;;;;;;;;;;;;;
dataset_aggregatable_field_map;Current;;id;company_id;dataset_id;field_def_id;dataset_column;created_at;;;;;;;;;;;;;;;
dataset_aggregatable_field_map;Future;;id;company_id;dataset_id;field_def_id;dataset_column;created_at;created_by;;;;;;;;;;;;;;
dataset_skus;Current;;id;company_id;dataset_id;sku_id;;;;;;;;;;;;;;;;;
dataset_skus;Future;;id;company_id;dataset_id;sku_id;updated_at;updated_by;;;;;;;;;;;;;;;
datasets;Current;;id;company_id;name;file_path;uploaded_by;uploaded_at;metadata;;;;;;;;;;;;;;
datasets;Future;;id;company_id;sop_cycle_id;name;file_path;dataset_hash;metadata;uploaded_at;uploaded_by;;;;;;;;;;;;
forecasts;Current;;id;company_id;sop_cycle_id;dataset_id;sku_id;model_id;method;period_id;method_type;periods;parameters;accuracy;predictions;optimization_id;job_id;forecast_hash;is_final_forecast;generated_at;created_at;updated_at;
forecasts;Future;Remove accuracy;id;company_id;sop_cycle_id;dataset_id;sku_id;model_id;method;period_id;method_type;periods;parameters;predictions;optimization_id;job_id;forecast_hash;is_final_forecast;generated_at;generated_by;updated_at;updated_by;
models;Current;;id;company_id;name;parameters;created_at;;;;;;;;;;;;;;;;
models;Future;;id;company_id;name;parameters;created_at;created_by;;;;;;;;;;;;;;;
optimization_jobs;Current;;id;company_id;user_id;sku_id;dataset_id;method;payload;reason;batch_id;status;progress;result;error;priority;optimization_id;optimization_hash;created_at;updated_at;started_at;completed_at;file_path
optimization_jobs;Future;;id;company_id;user_id;sku_id;dataset_id;method;payload;reason;batch_id;status;progress;result;error;priority;optimization_id;optimization_hash;created_at;updated_at;started_at;completed_at;
settings;Current;;id;key;value;updated_at;;;;;;;;;;;;;;;;;
user_settings;Future;Rename table;id;company_id;user_id;key;value;updated_at;;;;;;;;;;;;;;;
sku_aggregatable_value_history;Current;;id;sku_id;field_def_id;value;changed_at;changed_by;company_id;;;;;;;;;;;;;;
sku_aggregatable_value_history;Future;;id;company_id;sku_id;field_def_id;value;changed_at;changed_by;;;;;;;;;;;;;;
sku_aggregatable_values;Current;;id;sku_id;field_def_id;value;updated_at;company_id;;;;;;;;;;;;;;;
sku_aggregatable_values;Future;;id;company_id;sku_id;field_def_id;value;updated_at;updated_by;;;;;;;;;;;;;;
skus;Current;;id;company_id;sku_code;description;created_at;;;;;;;;;;;;;;;;
skus;Future;;id;company_id;sku_code;description;created_at;created_by;;;;;;;;;;;;;;;
sop_cycles;Current;;id;company_id;name;start_date;end_date;is_completed;created_at;completed_at;;;;;;;;;;;;;
sop_cycles;Future;;id;company_id;name;start_date;end_date;is_completed;created_at;completed_at;;;;;;;;;;;;;
time_series_data;Current;;id;dataset_id;sku_code;date;value;created_at;company_id;;;;;;;;;;;;;;
time_series_data;Future;;id;company_id!dataset_id;sku_code;date;value;created_at;;;;;;;;;;;;;;;
trend_lines;Current;;id;company_id;dataset_id;sku_id;start_index;end_index;start_value;end_value;start_date;end_date;label;created_at;;;;;;;;;
trend_lines;Future;;id;company_id;dataset_id;sku_id;start_index;end_index;start_value;end_value;start_date;end_date;label;created_at;created_by;;;;;;;;
users;Current;;id;company_id;username;password;roles;created_at;;;;;;;;;;;;;;;
users;Future;;id;company_id;username;password;roles;created_at;created_by;;;;;;;;;;;;;;
sop_aggregator;Future;Create new table;id;company_id;sop_cycle_id;created_at;created_by;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
